File,MainStart,MainEnd,ClientStart,ClientEnd
UpdateTemplate.java,33,35,29,32
GetTemplateFragment.java,33,35,29,32
DeleteTemplateFragment.java,33,34,29,32
SendRequestWhatsappInteractive.java,34,40,30,33
CancelRequest.java,34,35,30,33
RetrieveCallInfo.java,34,37,30,33
RecordMessage.java,33,70,0,40
OutboundTextToSpeechWithEventUrl.java,35,42,31,34
TrackNccoProgress.java,33,68,0,42
TransferCallNCCO.java,35,38,31,34
MuteCall.java,33,37,29,32
EndCall.java,34,36,30,33
TransferCall.java,33,35,29,32
RecordConversation.java,34,64,0,44
DownloadRecording.java,39,55,34,38
EarmuffCall.java,33,37,29,32
ConferenceCall.java,32,49,0,39
RecordCall.java,35,64,0,41
StreamAudioToCall.java,33,37,29,32
InboundCall.java,31,56,0,38
RetrieveInfoForAllCalls.java,38,49,34,37
RecordCallSplitAudio.java,32,65,0,42
DtmfInput.java,34,71,0,40
SendDtmfToCall.java,34,37,30,33
ConnectInboundCall.java,33,50,0,40
SendTalkToCall.java,34,37,30,33
OutboundTextToSpeech.java,34,36,30,33
AsrInput.java,36,75,0,42
OutboundTextToSpeechWithNcco.java,37,41,33,36
